id,gender,monetary,recency,frequency,duration,purchase,recency2,monetary2,frequency2,predict222,recency3,monetary3,frequency3,predict555
13818,M,97,16,6,42,1,1,1,2,0.08,2,1,4,0.666666667
13682,F,108,16,7,54,1,1,1,2,0.08,2,1,4,0.666666667
12304,F,107,14,6,36,0,1,1,2,0.08,2,1,4,0.666666667
12027,F,298,12,11,72,0,2,2,2,0.174418605,3,4,5,0.5
13662,M,243,10,12,48,1,2,2,2,0.174418605,3,4,5,0.5
12976,F,246,12,11,38,1,2,2,2,0.174418605,3,4,5,0.5
12756,F,248,10,10,36,0,2,2,2,0.174418605,3,4,5,0.5
13937,M,262,10,12,34,0,2,2,2,0.174418605,3,4,5,0.5
13328,M,278,12,11,70,1,2,2,2,0.174418605,3,4,5,0.5
12482,F,159,4,7,18,1,2,1,2,0.155339806,5,2,4,0.5
13438,F,155,4,6,28,0,2,1,2,0.155339806,5,2,4,0.5
13442,F,165,4,6,32,0,2,1,2,0.155339806,5,2,4,0.5
12325,F,133,2,8,20,1,2,1,2,0.155339806,5,2,4,0.5
12832,F,114,2,7,18,1,2,1,2,0.155339806,5,2,4,0.5
13092,M,136,2,8,26,1,2,1,2,0.155339806,5,2,4,0.5
13809,F,169,4,9,32,0,2,1,2,0.155339806,5,2,4,0.5
13940,F,150,4,9,22,0,2,1,2,0.155339806,5,2,4,0.5
13186,M,227,4,6,18,0,2,2,2,0.174418605,5,3,4,0.333333333
13782,F,224,2,6,18,0,2,2,2,0.174418605,5,3,4,0.333333333
12371,F,210,2,6,36,1,2,2,2,0.174418605,5,3,4,0.333333333
12836,F,207,4,7,34,0,2,1,2,0.155339806,5,3,4,0.333333333
12039,F,230,4,7,40,0,2,2,2,0.174418605,5,3,4,0.333333333
13882,F,223,4,7,22,0,2,2,2,0.174418605,5,3,4,0.333333333
13377,M,221,2,8,20,0,2,2,2,0.174418605,5,3,4,0.333333333
12396,F,229,2,7,18,1,2,2,2,0.174418605,5,3,4,0.333333333
12403,F,194,2,9,36,1,2,1,2,0.155339806,5,3,4,0.333333333
12791,M,264,4,12,30,1,2,2,2,0.174418605,5,4,5,0.333333333
12985,F,295,4,11,30,0,2,2,2,0.174418605,5,4,5,0.333333333
12542,M,269,2,10,50,1,2,2,2,0.174418605,5,4,5,0.333333333
13182,F,272,4,12,30,0,2,2,2,0.174418605,5,4,5,0.333333333
13222,F,261,2,12,34,0,2,2,2,0.174418605,5,4,5,0.333333333
13902,M,282,2,11,50,0,2,2,2,0.174418605,5,4,5,0.333333333
12222,M,253,2,12,70,0,2,2,2,0.174418605,5,4,5,0.333333333
12733,F,289,4,11,30,0,2,2,2,0.174418605,5,4,5,0.333333333
12892,F,287,4,11,36,1,2,2,2,0.174418605,5,4,5,0.333333333
12496,F,202,16,10,74,0,1,1,2,0.08,2,3,5,0.285714286
13256,F,240,16,11,76,0,1,2,2,0.073275862,2,3,5,0.285714286
12429,M,231,14,12,54,1,1,2,2,0.073275862,2,3,5,0.285714286
13136,M,232,16,10,62,1,1,2,2,0.073275862,2,3,5,0.285714286
13884,F,192,14,10,46,0,1,1,2,0.08,2,3,5,0.285714286
13823,F,242,16,12,80,0,1,2,2,0.073275862,2,3,5,0.285714286
13191,F,202,14,12,64,1,1,1,2,0.08,2,3,5,0.285714286
13145,M,182,14,12,38,1,1,1,2,0.08,2,3,5,0.285714286
13611,F,205,14,12,56,0,1,1,2,0.08,2,3,5,0.285714286
13274,F,228,16,11,52,0,1,2,2,0.073275862,2,3,5,0.285714286
12187,F,199,14,10,40,0,1,1,2,0.08,2,3,5,0.285714286
13601,F,200,14,11,50,0,1,1,2,0.08,2,3,5,0.285714286
12328,F,221,16,11,62,0,1,2,2,0.073275862,2,3,5,0.285714286
12893,F,190,14,10,72,0,1,1,2,0.08,2,3,5,0.285714286
12262,M,148,6,4,20,1,2,1,2,0.155339806,4,2,3,0.285714286
12597,M,120,8,5,32,0,2,1,2,0.155339806,4,2,3,0.285714286
12190,F,162,8,5,32,0,2,1,2,0.155339806,4,2,3,0.285714286
13084,F,172,6,4,24,0,2,1,2,0.155339806,4,2,3,0.285714286
12069,M,163,6,3,22,0,2,1,1,0.052511416,4,2,3,0.285714286
13359,M,152,6,3,24,0,2,1,1,0.052511416,4,2,3,0.285714286
13299,M,179,8,5,24,1,2,1,2,0.155339806,4,2,3,0.285714286
13696,M,308,2,2,6,0,2,2,1,0.116607774,5,5,2,0.285714286
12647,F,303,2,2,6,1,2,2,1,0.116607774,5,5,2,0.285714286
