"","recency2","monetary2","frequency2","id","gender","monetary","recency","frequency","duration","purchase","predict222"
"1","1","1","1",13326,"F",161,14,1,14,0,0.0318840579710145
"2","1","1","1",13489,"F",53,26,2,32,0,0.0318840579710145
"3","1","1","1",13001,"F",142,26,2,34,0,0.0318840579710145
"4","1","1","1",12267,"F",203,26,2,28,0,0.0318840579710145
"5","1","1","1",12032,"M",195,18,2,20,0,0.0318840579710145
"6","1","1","1",12468,"M",186,16,2,22,0,0.0318840579710145
"7","1","1","1",12040,"F",125,24,1,24,0,0.0318840579710145
"8","1","1","1",13366,"M",184,16,1,16,0,0.0318840579710145
"9","1","1","1",12548,"F",192,16,2,24,0,0.0318840579710145
"10","1","1","1",12110,"F",162,26,2,34,0,0.0318840579710145
"11","1","1","1",12233,"F",75,14,2,22,0,0.0318840579710145
"12","1","1","1",13535,"F",174,14,3,24,0,0.0318840579710145
"13","1","1","1",12524,"F",113,14,1,14,0,0.0318840579710145
"14","1","1","1",12639,"F",35,36,2,40,0,0.0318840579710145
"15","1","1","1",13841,"F",80,14,1,14,1,0.0318840579710145
"16","1","1","1",13581,"F",108,14,2,16,0,0.0318840579710145
"17","1","1","1",13445,"F",23,14,1,14,0,0.0318840579710145
"18","1","1","1",12266,"F",115,34,1,34,0,0.0318840579710145
"19","1","1","1",12605,"F",29,16,1,16,0,0.0318840579710145
"20","1","1","1",13736,"F",57,18,2,24,0,0.0318840579710145
"21","1","1","1",13401,"F",42,18,2,26,0,0.0318840579710145
"22","1","1","1",12918,"F",29,14,1,14,0,0.0318840579710145
"23","1","1","1",12567,"F",110,20,1,20,0,0.0318840579710145
"24","1","1","1",13002,"M",120,24,1,24,0,0.0318840579710145
"25","1","1","1",13391,"F",33,30,2,34,0,0.0318840579710145
"26","1","1","1",12205,"M",206,14,2,16,0,0.0318840579710145
"27","1","1","1",13203,"F",18,16,1,16,0,0.0318840579710145
"28","1","1","1",12922,"M",161,20,1,20,0,0.0318840579710145
"29","1","1","1",12386,"F",140,24,2,30,0,0.0318840579710145
"30","1","1","1",12669,"F",106,16,2,24,0,0.0318840579710145
"31","1","1","1",12346,"F",178,16,2,22,0,0.0318840579710145
"32","1","1","1",13437,"M",136,14,1,14,0,0.0318840579710145
"33","1","1","1",12793,"F",16,14,1,14,0,0.0318840579710145
"34","1","1","1",12443,"M",113,14,2,20,0,0.0318840579710145
"35","1","1","1",12969,"F",178,14,2,20,0,0.0318840579710145
"36","1","1","1",13282,"F",197,16,2,24,0,0.0318840579710145
"37","1","1","1",12796,"F",132,14,2,20,0,0.0318840579710145
"38","1","1","1",13810,"F",39,16,2,22,0,0.0318840579710145
"39","1","1","1",12986,"F",44,32,2,40,0,0.0318840579710145
"40","1","1","1",12288,"F",94,24,1,24,0,0.0318840579710145
"41","1","1","1",12209,"M",192,34,2,40,0,0.0318840579710145
"42","1","1","1",12183,"F",125,32,1,32,0,0.0318840579710145
"43","1","1","1",12952,"F",125,26,2,30,0,0.0318840579710145
"44","1","1","1",12642,"F",136,24,1,24,0,0.0318840579710145
"45","1","1","1",13494,"F",33,26,2,28,0,0.0318840579710145
"46","1","1","1",13251,"M",173,14,2,20,0,0.0318840579710145
"47","1","1","1",12387,"M",73,22,1,22,0,0.0318840579710145
"48","1","1","1",13197,"F",181,16,1,16,0,0.0318840579710145
"49","1","1","1",12203,"F",173,20,2,28,0,0.0318840579710145
"50","1","1","1",12849,"F",30,14,1,14,0,0.0318840579710145
"51","1","1","1",12785,"M",87,34,2,40,0,0.0318840579710145
"52","1","1","1",13201,"F",161,14,3,32,0,0.0318840579710145
"53","1","1","1",12272,"M",141,28,2,30,0,0.0318840579710145
"54","1","1","1",13850,"F",126,26,1,26,0,0.0318840579710145
"55","1","1","1",12278,"F",157,14,2,22,0,0.0318840579710145
"56","1","1","1",13126,"F",68,14,2,16,0,0.0318840579710145
"57","1","1","1",12627,"F",81,20,2,28,0,0.0318840579710145
"58","1","1","1",12870,"F",41,14,1,14,0,0.0318840579710145
"59","1","1","1",12507,"M",26,32,1,32,0,0.0318840579710145
"60","1","1","1",12805,"F",178,16,2,22,0,0.0318840579710145
"61","1","1","1",12725,"F",93,14,2,16,0,0.0318840579710145
"62","1","1","1",12066,"F",107,22,2,30,0,0.0318840579710145
"63","1","1","1",12473,"F",45,26,2,34,0,0.0318840579710145
"64","1","1","1",13807,"M",152,18,1,18,0,0.0318840579710145
"65","1","1","1",13217,"F",133,30,2,38,0,0.0318840579710145
"66","1","1","1",12246,"M",109,14,3,22,1,0.0318840579710145
"67","1","1","1",13338,"F",189,14,1,14,0,0.0318840579710145
"68","1","1","1",12355,"F",177,14,2,18,0,0.0318840579710145
"69","1","1","1",12196,"F",151,14,2,22,0,0.0318840579710145
"70","1","1","1",13853,"F",102,28,1,28,0,0.0318840579710145
"71","1","1","1",12155,"F",95,26,3,32,0,0.0318840579710145
"72","1","1","1",12401,"F",97,34,1,34,0,0.0318840579710145
"73","1","1","1",12979,"F",40,14,2,22,0,0.0318840579710145
"74","1","1","1",12456,"F",202,14,2,20,0,0.0318840579710145
"75","1","1","1",13493,"F",198,26,2,30,0,0.0318840579710145
"76","1","1","1",12888,"F",124,14,1,14,0,0.0318840579710145
"77","1","1","1",13132,"M",200,16,2,18,1,0.0318840579710145
"78","1","1","1",12623,"F",159,28,1,28,0,0.0318840579710145
"79","1","1","1",12421,"F",198,14,2,16,0,0.0318840579710145
"80","1","1","1",13876,"M",51,24,1,24,0,0.0318840579710145
"81","1","1","1",13058,"F",149,16,2,18,0,0.0318840579710145
"82","1","1","1",13422,"M",112,16,1,16,0,0.0318840579710145
"83","1","1","1",12305,"F",26,18,1,18,0,0.0318840579710145
"84","1","1","1",12182,"F",51,16,1,16,0,0.0318840579710145
"85","1","1","1",13638,"F",125,18,1,18,0,0.0318840579710145
"86","1","1","1",12547,"F",201,14,2,20,0,0.0318840579710145
"87","1","1","1",12306,"F",112,14,1,14,0,0.0318840579710145
"88","1","1","1",12631,"F",29,24,1,24,0,0.0318840579710145
"89","1","1","1",12378,"M",87,30,1,30,0,0.0318840579710145
"90","1","1","1",12553,"F",188,16,1,16,0,0.0318840579710145
"91","1","1","1",13402,"F",180,22,2,24,0,0.0318840579710145
"92","1","1","1",13120,"F",187,16,1,16,0,0.0318840579710145
"93","1","1","1",13161,"F",124,14,2,18,0,0.0318840579710145
"94","1","1","1",13647,"F",40,14,2,22,0,0.0318840579710145
"95","1","1","1",13123,"F",79,20,1,20,0,0.0318840579710145
"96","1","1","1",13124,"F",135,14,2,20,0,0.0318840579710145
"97","1","1","1",12679,"F",153,32,2,38,0,0.0318840579710145
"98","1","1","1",12924,"M",133,16,3,26,0,0.0318840579710145
"99","1","1","1",12520,"F",134,34,1,34,0,0.0318840579710145
"100","1","1","1",12603,"M",166,16,1,16,0,0.0318840579710145
"101","1","1","1",12765,"F",169,16,1,16,0,0.0318840579710145
