"","recency.kmeans","monetary.kmeans","frequency.kmeans","purchase"
"1",1,1,1,0.0702479338842975
"2",2,1,1,0.149659863945578
"3",3,1,1,0.0253164556962025
"4",1,2,1,0.0897832817337461
"5",2,2,1,0.162162162162162
"6",3,2,1,0.032
"7",1,3,1,0.0408805031446541
"8",2,3,1,0.0641711229946524
"9",3,3,1,0.0375
"10",1,1,2,0.0944206008583691
"11",2,1,2,0.204225352112676
"12",3,1,2,0.04
"13",1,2,2,0.128318584070796
"14",2,2,2,0.171428571428571
"15",3,2,2,0.0375
"16",1,3,2,0.0333333333333333
"17",2,3,2,0.0833333333333333
"18",3,3,2,0
"19",1,1,3,0.0778443113772455
"20",2,1,3,0.157894736842105
"21",3,1,3,0.025
"22",1,2,3,0.0380228136882129
"23",2,2,3,0.0816326530612245
"24",3,2,3,0.0422535211267606
"25",1,3,3,0.0282258064516129
"26",2,3,3,0.115702479338843
"27",3,3,3,0.0133333333333333
