"","recency2","monetary2","frequency2","id","gender","monetary","recency","frequency","duration","purchase","predict222"
"1","2","2","2",13415,"M",304,6,12,38,1,0.174418604651163
"2","2","2","2",12257,"F",415,8,10,62,0,0.174418604651163
"3","2","2","2",13659,"F",316,10,6,42,0,0.174418604651163
"4","2","2","2",12864,"F",335,8,12,38,0,0.174418604651163
"5","2","2","2",12919,"F",277,12,5,36,0,0.174418604651163
"6","2","2","2",13569,"F",266,10,4,32,0,0.174418604651163
"7","2","2","2",13513,"F",287,12,5,30,0,0.174418604651163
"8","2","2","2",12348,"F",352,10,10,48,0,0.174418604651163
"9","2","2","2",12600,"F",357,2,10,38,1,0.174418604651163
"10","2","2","2",12554,"F",380,6,6,26,0,0.174418604651163
"11","2","2","2",13051,"F",224,10,6,26,0,0.174418604651163
"12","2","2","2",13039,"F",356,10,4,20,0,0.174418604651163
"13","2","2","2",12080,"F",384,6,8,52,0,0.174418604651163
"14","2","2","2",13729,"F",233,12,7,28,0,0.174418604651163
"15","2","2","2",12889,"F",370,10,8,50,0,0.174418604651163
"16","2","2","2",13244,"F",345,6,5,20,0,0.174418604651163
"17","2","2","2",12396,"F",229,2,7,18,1,0.174418604651163
"18","2","2","2",13131,"F",322,6,10,36,0,0.174418604651163
"19","2","2","2",12051,"F",347,4,12,38,0,0.174418604651163
"20","2","2","2",12252,"M",381,10,12,70,0,0.174418604651163
"21","2","2","2",13088,"F",308,12,7,36,0,0.174418604651163
"22","2","2","2",13691,"F",365,12,11,58,0,0.174418604651163
"23","2","2","2",12094,"M",280,10,8,34,1,0.174418604651163
"24","2","2","2",12380,"F",353,4,11,54,0,0.174418604651163
"25","2","2","2",13068,"M",408,2,11,46,0,0.174418604651163
"26","2","2","2",12982,"F",268,2,6,18,0,0.174418604651163
"27","2","2","2",13364,"F",306,10,6,32,1,0.174418604651163
"28","2","2","2",12717,"F",415,10,11,34,0,0.174418604651163
"29","2","2","2",12828,"F",238,8,4,28,0,0.174418604651163
"30","2","2","2",12395,"F",283,6,9,44,0,0.174418604651163
"31","2","2","2",13750,"F",307,10,8,28,0,0.174418604651163
"32","2","2","2",12254,"F",356,12,10,62,0,0.174418604651163
"33","2","2","2",12414,"M",306,10,12,50,0,0.174418604651163
"34","2","2","2",12292,"M",397,2,8,34,0,0.174418604651163
"35","2","2","2",13843,"M",243,12,9,52,1,0.174418604651163
"36","2","2","2",12310,"F",298,8,12,60,0,0.174418604651163
"37","2","2","2",12797,"F",257,12,4,28,0,0.174418604651163
"38","2","2","2",12878,"M",253,8,10,30,0,0.174418604651163
"39","2","2","2",13552,"M",448,6,10,60,0,0.174418604651163
"40","2","2","2",12219,"F",307,12,6,26,0,0.174418604651163
"41","2","2","2",12677,"F",300,10,7,46,0,0.174418604651163
"42","2","2","2",13485,"M",368,12,12,54,0,0.174418604651163
"43","2","2","2",12558,"F",308,12,8,58,0,0.174418604651163
"44","2","2","2",12441,"M",405,6,12,70,1,0.174418604651163
"45","2","2","2",13222,"F",261,2,12,34,0,0.174418604651163
"46","2","2","2",12995,"F",260,6,9,26,0,0.174418604651163
"47","2","2","2",12390,"F",409,6,10,42,0,0.174418604651163
"48","2","2","2",13614,"F",338,6,11,30,0,0.174418604651163
"49","2","2","2",12039,"F",230,4,7,40,0,0.174418604651163
"50","2","2","2",13777,"F",323,4,10,32,0,0.174418604651163
"51","2","2","2",12444,"F",276,4,9,26,0,0.174418604651163
"52","2","2","2",12756,"F",248,10,10,36,0,0.174418604651163
"53","2","2","2",12636,"M",337,8,12,48,0,0.174418604651163
"54","2","2","2",13017,"F",230,10,5,30,0,0.174418604651163
"55","2","2","2",13502,"F",256,12,5,32,0,0.174418604651163
"56","2","2","2",12773,"F",475,4,12,52,0,0.174418604651163
"57","2","2","2",12530,"F",254,6,10,58,0,0.174418604651163
"58","2","2","2",12791,"M",264,4,12,30,1,0.174418604651163
"59","2","2","2",12130,"F",384,12,6,40,0,0.174418604651163
"60","2","2","2",13868,"M",399,8,10,54,0,0.174418604651163
"61","2","2","2",12455,"M",213,4,4,22,0,0.174418604651163
"62","2","2","2",13021,"M",393,8,11,62,0,0.174418604651163
"63","2","2","2",13305,"M",270,2,7,22,1,0.174418604651163
"64","2","2","2",13591,"F",324,4,6,20,0,0.174418604651163
"65","2","2","2",12501,"F",311,8,10,46,0,0.174418604651163
"66","2","2","2",12985,"F",295,4,11,30,0,0.174418604651163
"67","2","2","2",12542,"M",269,2,10,50,1,0.174418604651163
"68","2","2","2",13189,"F",422,12,9,60,0,0.174418604651163
"69","2","2","2",12584,"F",211,10,5,24,0,0.174418604651163
"70","2","2","2",12748,"M",284,12,5,26,0,0.174418604651163
"71","2","2","2",13937,"M",262,10,12,34,0,0.174418604651163
"72","2","2","2",13881,"F",300,10,5,20,0,0.174418604651163
"73","2","2","2",13642,"F",327,10,11,48,0,0.174418604651163
"74","2","2","2",13116,"F",418,10,9,48,0,0.174418604651163
"75","2","2","2",12106,"F",345,10,8,44,0,0.174418604651163
"76","2","2","2",12589,"F",322,12,12,74,1,0.174418604651163
"77","2","2","2",13887,"F",419,10,11,70,0,0.174418604651163
"78","2","2","2",12432,"F",317,4,9,22,1,0.174418604651163
"79","2","2","2",13967,"M",385,12,9,46,0,0.174418604651163
"80","2","2","2",13605,"M",424,6,11,58,0,0.174418604651163
"81","2","2","2",13567,"F",298,12,4,24,0,0.174418604651163
"82","2","2","2",12353,"F",224,10,10,62,1,0.174418604651163
"83","2","2","2",12714,"F",354,4,7,44,0,0.174418604651163
"84","2","2","2",13285,"M",230,10,9,54,0,0.174418604651163
"85","2","2","2",13046,"F",318,10,12,74,0,0.174418604651163
"86","2","2","2",12116,"F",315,10,10,46,0,0.174418604651163
"87","2","2","2",13938,"F",310,10,9,38,1,0.174418604651163
"88","2","2","2",12966,"F",259,12,8,44,0,0.174418604651163
