"","recency3","monetary3","frequency3","id","gender","monetary","recency","frequency","duration","purchase","predict555"
"1","1","1","1",12268,"M",40,22,1,22,0,0
"2","1","1","1",12478,"F",22,20,1,20,0,0
"3","1","1","1",12772,"M",105,18,1,18,0,0
"4","1","1","1",12401,"F",97,34,1,34,0,0
"5","1","1","1",13723,"M",43,26,1,26,0,0
"6","1","1","1",12288,"F",94,24,1,24,0,0
"7","1","1","1",13903,"F",20,20,1,20,0,0
"8","1","1","1",13853,"F",102,28,1,28,0,0
"9","1","1","1",12816,"M",97,26,1,26,0,0
"10","1","1","1",13951,"F",20,26,1,26,0,0
"11","1","1","1",13083,"F",104,18,1,18,0,0
"12","1","1","1",12387,"M",73,22,1,22,0,0
"13","1","1","1",12631,"F",29,24,1,24,0,0
"14","1","1","1",12329,"F",35,18,1,18,0,0
"15","1","1","1",13918,"M",39,26,1,26,1,0
"16","1","1","1",12850,"F",49,24,1,24,0,0
"17","1","1","1",13876,"M",51,24,1,24,0,0
"18","1","1","1",13594,"F",66,30,1,30,0,0
"19","1","1","1",12507,"M",26,32,1,32,0,0
"20","1","1","1",12305,"F",26,18,1,18,0,0
"21","1","1","1",13152,"F",76,30,1,30,0,0
"22","1","1","1",12567,"F",110,20,1,20,0,0
"23","1","1","1",13635,"F",57,18,1,18,0,0
"24","1","1","1",13123,"F",79,20,1,20,0,0
"25","1","1","1",13874,"F",53,20,1,20,0,0
"26","1","1","1",12498,"M",70,20,1,20,0,0
"27","1","1","1",13752,"F",112,34,1,34,0,0
"28","1","1","1",12999,"F",69,36,1,36,0,0
"29","1","1","1",12149,"F",111,36,1,36,0,0
"30","1","1","1",13915,"M",83,18,1,18,0,0
"31","1","1","1",13875,"F",48,32,1,32,0,0
"32","1","1","1",12378,"M",87,30,1,30,0,0
"33","1","1","2",13583,"M",103,18,2,24,0,0.0384615384615385
"34","1","1","2",13906,"F",70,34,2,38,0,0.0384615384615385
"35","1","1","2",12581,"M",31,28,2,36,0,0.0384615384615385
"36","1","1","2",13660,"F",53,32,2,36,0,0.0384615384615385
"37","1","1","2",13106,"F",100,20,2,26,0,0.0384615384615385
"38","1","1","2",12751,"F",41,28,2,36,0,0.0384615384615385
"39","1","1","2",12785,"M",87,34,2,40,0,0.0384615384615385
"40","1","1","2",13335,"M",42,20,2,22,0,0.0384615384615385
"41","1","1","2",13118,"F",49,36,2,44,0,0.0384615384615385
"42","1","1","2",12986,"F",44,32,2,40,0,0.0384615384615385
"43","1","1","2",13494,"F",33,26,2,28,0,0.0384615384615385
"44","1","1","2",13661,"F",96,36,2,42,0,0.0384615384615385
"45","1","1","2",13240,"F",80,22,2,30,0,0.0384615384615385
"46","1","1","2",13968,"F",109,32,2,38,0,0.0384615384615385
"47","1","1","2",12883,"F",42,18,2,20,0,0.0384615384615385
"48","1","1","2",12473,"F",45,26,2,34,0,0.0384615384615385
"49","1","1","2",13401,"F",42,18,2,26,0,0.0384615384615385
"50","1","1","2",12066,"F",107,22,2,30,0,0.0384615384615385
"51","1","1","2",13657,"F",85,34,2,40,0,0.0384615384615385
"52","1","1","2",12670,"F",111,18,2,20,0,0.0384615384615385
"53","1","1","2",13391,"F",33,30,2,34,0,0.0384615384615385
"54","1","1","2",12400,"F",70,34,2,36,0,0.0384615384615385
"55","1","1","2",13049,"M",51,34,2,38,0,0.0384615384615385
"56","1","1","2",13785,"F",83,18,2,24,0,0.0384615384615385
"57","1","1","2",12914,"F",63,24,2,26,0,0.0384615384615385
"58","1","1","2",13924,"F",67,34,2,38,0,0.0384615384615385
"59","1","1","2",12627,"F",81,20,2,28,0,0.0384615384615385
"60","1","1","2",13736,"F",57,18,2,24,0,0.0384615384615385
"61","1","1","2",13489,"F",53,26,2,32,0,0.0384615384615385
"62","1","1","2",12198,"F",96,26,2,28,0,0.0384615384615385
"63","1","1","2",12804,"F",106,24,2,26,0,0.0384615384615385
"64","1","1","2",12639,"F",35,36,2,40,0,0.0384615384615385
"65","1","1","3",12155,"F",95,26,3,32,0,0
"66","1","1","3",12136,"F",72,36,4,54,0,0
"67","1","1","3",13813,"F",70,18,3,28,0,0
"68","1","1","3",12430,"M",104,30,5,52,0,0
"69","1","1","3",12715,"F",94,26,3,40,0,0
"70","1","2","1",13845,"F",150,30,1,30,0,0
